"Gene","Degree","Betweenness","Eigen_Centrality","Community"
"NRXN1",52,6531.42527534916,0.169368245520522,7
"GRIA1",52,7891.89756301074,0.228056766529692,7
"GNAI1",48,6363.72290270593,0.30897887866658,7
"DLG1",44,5971.72260457357,0.151746925791663,7
"DLG2",40,2700.98644104927,0.128115797214205,7
"EDN1",38,3853.40907227796,0.397709585113731,7
"PRKCB",36,3951.09539118338,0.29276204747507,7
"GNAL",36,5099.76226351551,0.11433987501543,7
"GNG5",34,2964.06140208057,0.123889999091671,7
"GRID2",32,2541.28379649143,0.124577818422525,7
"AKAP13",32,4563.77419728776,0.0771709425697654,7
"ANK3",30,1902.04820974786,0.125458834834268,7
"ATP2B2",30,5017.796539478,0.0775582204726068,7
"CHN2",28,3919.01397604367,0.0462573948132498,7
"CTNND2",28,3269.40638857738,0.15871519265894,7
"CACNB2",28,3169.74626163404,0.0839771322007622,7
"PDE4D",28,3277.99450476824,0.0622785700460157,7
"ARHGEF2",28,2049.44355358284,0.0933606891139559,7
"GPHN",28,6649.8573204835,0.0905933352902228,7
"CAMK2D",26,2821.364742639,0.171065030980048,7
"AKAP9",26,1757.39844569349,0.0841816092477226,7
"IMMP2L",26,3035.34087638486,0.083616430092381,7
"ARHGAP35",26,3507.1344592979,0.110252816863139,7
"KCNA5",24,849.373201810419,0.0925302096920079,7
"DPP10",24,2334.09177148717,0.0495680151593867,7
"NLGN1",24,1335.03461645723,0.138891460536719,7
"KCNJ2",22,1207.53632466824,0.0531749487854993,7
"ARHGAP26",22,1423.85254938698,0.0618081107478542,7
"NT5C2",20,3664.68291780237,0.0656415792432343,7
"LPAR1",20,1893.96384094452,0.17718520788513,7
"KSR1",20,1287.74219659907,0.0725362007066165,7
"HTR2C",18,1714.64213905375,0.0516957886948515,7
"GABBR2",18,1090.64817404746,0.08998139873418,7
"EPB41L3",18,499.122054192573,0.0883905812761118,7
"KCNQ3",18,325.888699314769,0.0544012384709123,7
"APBA1",16,505.25170403624,0.0605118547055369,7
"TANC1",16,2686.71745127901,0.0528472103179343,7
"PRKCE",16,416.745991535811,0.202604568702478,7
"PRKCH",16,2894.81800427571,0.107026494180727,7
"WASF1",16,1393.64071308198,0.0440728182679375,7
"PDE7B",14,1187.27207509823,0.0108536112163364,7
"PDE8A",14,782.694675387933,0.0123135867033316,7
"KCNIP4",14,661.615036901115,0.0254911626710882,7
"SLC8A1",14,1117.31421027783,0.026097865934309,7
"GRM2",14,275.94651333033,0.0584624985785787,7
"PRKAR1B",14,478.689839085416,0.0695565101439904,7
"RGS6",14,2707.0561139227,0.0676716386588077,7
"HTR2A",14,679.275784034349,0.0643831752240896,7
"LRFN5",12,791.819374475668,0.0393235903926679,7
"EDNRA",12,490.82523232712,0.0604400763364907,7
"DNER",12,973.420083841164,0.0558523314637906,7
"PTGER3",12,244.916666433413,0.0713307966253945,7
"TNIK",12,543.45805429409,0.0383613677309029,7
"RGS1",12,1592.84602203807,0.0621963386680319,7
"EML5",12,974.753279178859,0.0140936431282232,7
"RASGEF1B",10,379.716150555274,0.0152783131673791,7
"GYPC",10,494.126593818215,0.0230638123945988,7
"GNAT1",10,499.495536841695,0.0608718512000711,7
"ADRA1B",10,406.140472243381,0.0472926042249611,7
"IQSEC2",10,654.201656208274,0.036471372293791,7
"ADAMTSL1",10,805.202775713188,0.0170599605681233,7
"KCNIP1",10,65.6937096790582,0.0143864055377508,7
"CHRNA7",10,326.340990454943,0.0221099385814361,7
"OPALIN",10,346.662809522187,0.0252969949136026,7
"CAND1.11",10,187.265312713586,0.0102036224838543,7
"KCNAB1",10,136.650124619682,0.0222643787704842,7
"ATP2C1",10,612.135390695835,0.0877438574211888,7
"KCNN3",10,176.067389585205,0.0334648460255152,7
"SCT",8,100.833012761723,0.0103932205524253,7
"OLFM2",8,139.358354906624,0.0569494214401629,7
"MARK4",8,276.396284314737,0.0196845852724413,7
"CARTPT",8,767.655788106548,0.0191553492213211,7
"TTC7B",8,1658.75471303645,0.00656568165015973,7
"SLC24A2",8,199.814805277496,0.0289083708134698,7
"TAS2R1",8,126.349806448838,0.0213169015420435,7
"FEZ2",8,287.680799508022,0.015428481721381,7
"RASGRP3",8,797.993070149551,0.0279752695336258,7
"TUBGCP5",8,112.088251479215,0.0111828911896265,7
"EFR3A",6,620.766689724307,0.000629231096872404,7
"ULK4",6,52.7787526656641,0.00765675627272499,7
"CABCOCO1",6,34.7577036497567,0.0103428714385402,7
"VIPR1",6,200.113693817901,0.00906416039882697,7
"ADGRE5",6,120.401134061316,0.0177722481747381,7
"DOP1B",6,49.5019079386025,0.0207016476655692,7
"ELFN2",6,745.438603520175,0.00778808987459088,7
"CALCRL",6,102.890264549017,0.0073146772674066,7
"PDE9A",4,37.6199584986351,0.0202187451232775,7
"GANC",4,0,0.0108707236099818,7
"P2RY1",4,0,0.0197995415578845,7
"NPTN",4,291.442940369361,0.00293973088321866,7
"ADARB1",4,25.4248580527346,0.00407067714524828,7
"MAP4",4,8.32097448008916,0.00606469494060272,7
"KIAA1755",4,1410,0.00446968906816807,7
"MAP3K20",4,40.0618790594081,0.00600181255519213,7
"LDLRAD3",4,125.631533582796,0.0242506515067392,7
"ANKRD28",4,0,0.0109098400938052,7
"OXR1",4,0,0.0064974572879463,7
"RANBP3L",4,706,0.000295215896204352,7
"THUMPD2",4,706,0.00410796983425062,7
"CEACAM1",2,0,0.00125970895037053,7
"OR10G7",2,0,0.0075193076501506,7
"IKZF4",2,0,0.00553601635766145,7
"CEMIP2",2,0,0.0111381260829888,7
"ZNF594",2,0,0.000512166414089287,7
"UGT3A1",2,0,1.94142170128708e-05,7
"AGAP5",2,0,0.000270151502239252,7
"OR8B2",2,0,0.0075193076501506,7
"HRH2",2,0,0.00751930765015061,7
"IRAG1",2,0,0.00183973139896146,7
"PLCXD2",2,0,0.00347537928285416,7
