"Community","Size","Mean_Degree","Top_Genes","Functional_Enrichment"
1,42,6.76190476190476,"DPY19L2, SPATA16, MFSD14A","Mixed Functions"
2,38,14.1578947368421,"SMARCA2, ATRX, TAF1L","Chromatin Remodeling"
3,25,9.6,"NTN1, SEMA3D, PLXNA2","Axon Guidance"
4,3,2.66666666666667,"SIPA1L3, TSPAN9, TMEM241","Mixed Functions"
5,97,18.5154639175258,"CASP3, CREBBP, UBC","Cell Signaling/Survival"
6,41,10.8292682926829,"DDX10, PWP1, KRR1","Mixed Functions"
7,110,14.8363636363636,"NRXN1, GRIA1, GNAI1","Synaptic Organization"
8,40,14.75,"TFRC, KITLG, CD86","Mixed Functions"
9,59,11.2542372881356,"FMN1, AGFG1, EXOC4","Mixed Functions"
10,41,7.46341463414634,"MYO1E, PTPN14, PTPRA","Mixed Functions"
11,75,15.6,"PTK2B, IGF1R, CBL","Kinase Signaling"
12,33,6.66666666666667,"NEUROD1, MAFB, WDR72","Mixed Functions"
13,16,6.75,"PPP2R2A, AHI1, TBC1D13","Mixed Functions"
14,8,6.25,"MACROD2, LCORL, PARP12","Mixed Functions"
15,26,9.15384615384615,"CNDP2, PEPD, ALDH9A1","Mixed Functions"
16,2,2,"ADAM23, ADAM2","Mixed Functions"
17,15,5.46666666666667,"SPARC, ADGRA2, MSI1","Mixed Functions"
18,10,7.8,"CTNNAL1, LRRFIP2, PKP4","Mixed Functions"
19,32,6.75,"PLA2G4A, UVRAG, WIPI2","Mixed Functions"
20,2,2,"HLX, HMBOX1","Mixed Functions"
21,2,2,"KRTAP5-10, KRTAP10-4","Mixed Functions"
22,2,2,"RCBTB1, FNDC3A","Mixed Functions"
