"Gene","Degree","Betweenness","Functional_Category","NDD_Association"
"CASP3",90,20650.0691176201,"Immune Signaling","No"
"CREBBP",88,20429.676898904,"Cell Signaling","No"
"UBC",86,13890.1825240748,"Cell Signaling","No"
"STAT3",80,14193.2350720551,"Immune Signaling","No"
"PTK2B",60,8592.63557012189,"Cell Signaling","No"
"IGF1R",58,6203.77788329425,"Cell Signaling","No"
"CBL",56,7284.13007553397,"Cell Signaling","No"
"AR",56,9045.73158770943,"Other Functions","No"
"IRS1",52,6676.48698876722,"Cell Signaling","No"
"SMAD3",52,4707.23537733924,"Cell Signaling","No"
"NRXN1",52,6531.42527534916,"Synaptic Organization","Yes"
"GRIA1",52,7891.89756301074,"Synaptic Organization","No"
"TFRC",50,11318.8760636223,"Other Functions","No"
"RBX1",48,8167.88225091635,"Other Functions","No"
"CDH2",48,7829.5648841551,"Other Functions","No"
"GNAI1",48,6363.72290270593,"Cell Signaling","No"
"HDAC4",46,7336.11579670466,"Other Functions","No"
"LEF1",46,4045.10319850564,"Other Functions","No"
"SH3GL2",46,7008.77169551568,"Other Functions","No"
"RBPJ",44,4906.40771281398,"Other Functions","No"
"DLG1",44,5971.72260457357,"Synaptic Organization","No"
"YWHAB",44,6183.54108916371,"Other Functions","No"
"KITLG",42,4339.76675435097,"Other Functions","No"
"SMARCA2",42,1914.04464667693,"Other Functions","No"
"SMAD4",42,2833.15145538124,"Cell Signaling","No"
"PRKN",42,7588.98619965596,"Other Functions","No"
"NFKB1",40,3605.90907482049,"Immune Signaling","No"
"BIN1",40,5341.50034934676,"Other Functions","No"
"CD86",40,5317.55969744531,"Immune Signaling","No"
"ATRX",40,2903.23243999654,"Other Functions","No"
"DLG2",40,2700.98644104927,"Synaptic Organization","No"
"EDN1",38,3853.40907227796,"Other Functions","No"
"SH3KBP1",38,2837.28544975494,"Other Functions","No"
"ITCH",38,3180.83573705655,"Other Functions","No"
"PRKCB",36,3951.09539118338,"Cell Signaling","No"
"GNAL",36,5099.76226351551,"Other Functions","No"
"DNMT1",36,5019.00615135475,"Other Functions","No"
"ROCK1",36,5841.85567789817,"Cell Signaling","No"
"GNG5",34,2964.06140208057,"Other Functions","No"
"VAV1",34,2283.57582853585,"Immune Signaling","No"
"GRID2",32,2541.28379649143,"Other Functions","No"
"MYO1E",32,6159.83931396857,"Other Functions","No"
"CTBP1",32,5262.71451191062,"Other Functions","No"
"DDX10",32,2921.07112107187,"Other Functions","No"
"AKAP13",32,4563.77419728776,"Other Functions","No"
"SMURF1",32,1588.14737603012,"Other Functions","No"
"PECAM1",32,2717.21668578368,"Immune Signaling","No"
"PAK1",30,3540.10682500796,"Cell Signaling","No"
"ANK3",30,1902.04820974786,"Synaptic Organization","Yes"
"ATP2B2",30,5017.796539478,"Other Functions","No"
"IFNB1",30,1817.67827930647,"Immune Signaling","No"
"XIAP",30,2133.11742106461,"Other Functions","No"
"EPS15L1",30,2977.88044033149,"Other Functions","No"
"TAF1L",30,2878.61372614339,"Other Functions","No"
"FMN1",30,3269.47316138061,"Other Functions","No"
"NTN1",28,2469.47389580288,"Other Functions","No"
"CHN2",28,3919.01397604367,"Other Functions","No"
"ZAP70",28,2080.55229631713,"Immune Signaling","No"
"CTNND2",28,3269.40638857738,"Other Functions","No"
"CACNB2",28,3169.74626163404,"Synaptic Organization","Yes"
"PDE4D",28,3277.99450476824,"Other Functions","No"
"ARHGEF2",28,2049.44355358284,"Other Functions","No"
"BCL2",28,2646.72710859006,"Other Functions","No"
"AGFG1",28,4526.09356865151,"Other Functions","No"
"GPHN",28,6649.8573204835,"Synaptic Organization","No"
"RAD51B",28,1722.09322814753,"Other Functions","No"
"EXOC4",26,2800.62648608864,"Other Functions","No"
"GAB1",26,1709.88943833023,"Other Functions","No"
"LPL",26,3636.42467655153,"Other Functions","No"
"CAMK2D",26,2821.364742639,"Other Functions","No"
"AKAP9",26,1757.39844569349,"Other Functions","No"
"TOP1",26,3053.83224139774,"Other Functions","No"
"IMMP2L",26,3035.34087638486,"Other Functions","No"
"ARHGAP35",26,3507.1344592979,"Other Functions","No"
"PWP1",26,2211.3367196066,"Other Functions","No"
"SCFD1",26,3213.80092859178,"Other Functions","No"
"RBBP8",26,1237.3273878006,"Other Functions","No"
"CAPZB",26,4368.16705863183,"Other Functions","No"
"NLGN1",24,1335.03461645723,"Synaptic Organization","Yes"
"KCNQ3",18,325.888699314769,"Synaptic Organization","Yes"
"ARID1B",16,269.948518218058,"Other Functions","Yes"
"DSCAM",10,237.466550426638,"Other Functions","Yes"
